Date,RON91,Diesel
2023-01-03,72.45,67.70
2023-01-10,71.70,64.90
2023-01-17,72.65,65.40
2023-01-24,75.45,67.65
2023-01-31,76.75,68.65
2023-02-07,74.65,65.65
2023-02-14,74.65,63.45
2023-02-21,66.25,62.30
2023-02-28,65.55,61.00
2023-03-07,64.45,62.05
2023-03-14,65.45,61.95
2023-03-21,64.25,60.10
2023-03-28,63.40,58.60
2023-04-04,60.85,55.15
2023-04-11,67.40,60.75
2023-04-18,63.75,56.45
2023-04-24,66.30,58.75
2023-05-02,64.80,57.45
2023-05-09,62.60,54.70
2023-05-16,60.60,55.70
2023-05-23,60.80,56.75
